en,hr
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Pratite nas na Twitteru @OpenSpecy. Pošaljite e-poštu wincowger@gmail.com kako biste bili dodani na popis e-pošte.
Citation,Citat
Useful Links,korisni linkovi
Free FTIR Software: siMPle microplastic IR spectral identification software,Besplatni FTIR softver: jednostavan mikroplastični IR spektralni softver za identifikaciju
Free Spectroscopy Learning Academy from ThermoFisher,Besplatna akademija za učenje spektroskopije tvrtke ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Besplatni resursi za učenje optičke mikroskopije sa Sveučilišta Florida State
Free desktop application for spectral analysis and links to reference databases.,Besplatna desktop aplikacija za spektralnu analizu i poveznice na referentne baze podataka.
Terms And Conditions,Odredbe i uvjeti
Privacy Policy,Politika privatnosti
Upload File,Prenesite datoteku
"Upload, View, and Share Spectra","Prijenos, prikaz i dijeljenje Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Odaberite .csv (poželjno), .asp, .jdx, .spc, .spa ili .0 datoteku"
Share Your Data?,Podijelite svoje podatke?
Share Help,Podijelite pomoć
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ako želite, dijelimo vaše prenesene spektre i postavke sa zajednicom spektroskopije.
           Prema zadanim postavkama, svi podaci bit će licencirani prema Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Učitani spektri će se pojaviti ovdje: https://osf.io/rjg3c"
Upload Help,Pomoć za prijenos
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Prenesite datoteke Raman ili FTIR spektra kao csv, jdx, spc ili spa. Poželjna je csv datoteka. Ako je csv, datoteka mora sadržavati jedan stupac s oznakom ""valni broj"" u jedinicama (1/cm) i drugi stupac s oznakom ""intenzitet"" u jedinicama apsorpcije.
            Ako je jdx, spc, spa ili 0, datoteka bi trebala biti jedan spektar apsorpcije s valnim brojem u (1/cm). Ove datoteke neće uvijek raditi savršeno jer ih je teško čitati pa ih provjerite u drugom softveru.
            Pritisnite gumb 'Test Data' za preuzimanje uzorka Ramanovog spektra."
Intensity Adjustment,Podešavanje intenziteta
None,Nijedan
Transmittance,Propustljivost
Reflectance,Refleksija
Intensity Correction Help,Pomoć za korekciju intenziteta
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ako preneseni spektar nije u jedinicama apsorpcije,
           koristite ovaj ulaz za određivanje jedinica za pretvaranje.Open Specy može
           prilagodite spektre refleksije ili propusnosti jedinicama apsorpcije pomoću
           ovo padajući izbornik na kartici za prijenos datoteka. Sve prethodne kartice
           pretpostavite da su podaci u jedinicama apsorpcije pa biste trebali napraviti
           ispravak prije nastavka ako je potrebno. Podešavanje propustljivosti
           koristi izračun log10(1/T) koji nije ispravan za sustav
           i karakteristike čestica. Podešavanje refleksije koristi
           Kubelka-Munk jednadžba (1-R)2/(2*R). Pretpostavljamo da je refleksija
           je formatiran kao postotak od 1-100 i prvo ispravite intenzitet dijeljenjem sa 100
           tako da odgovara obliku koji se očekuje po jednadžbi.
           Ako nije odabran nijedan, Open Specy pretpostavlja da jesu preneseni podaci
           spektar apsorpcije."
Sample File,Uzorak datoteke
Sample Data Help,Pomoć za uzorke podataka
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ovo je uzorak spektra koji se može prenijeti u alat za testiranje i razumijevanje kako bi se csv datoteke trebale formatirati.
Metadata Input,Unos metapodataka
Metadata Help,Pomoć za metapodatke
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Dijelimo sve prenesene spektre i metapodatke sa zajednicom spektroskopije ako ovdje ispunite metapodatke i odaberete Dijeli.
           Preneseni spektri i metapodaci pojavit će se ovdje: https://osf.io/rjg3c"
Share Metadata,Dijelite metapodatke
Upload some data to get started...,Prenesite neke podatke za početak...
Preprocess Spectrum,Preprocesni spektar
"Smooth, Baseline Correct, and Download Processed Spectra","Glatko, ispravna osnovna linija i preuzimanje obrađenih spektra"
Download (recommended),Preuzmi (preporučeno)
Download Help,Preuzmite pomoć
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Neki korisnici mogu poželjeti spremiti kopiju svog obrađenog spektra. Ovaj gumb preuzima obrađeni spektar kao csv datoteku.
Smoothing,Zaglađivanje
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ovaj glatki uređaj može poboljšati omjer signala i šuma podataka i koristi filtar Savitzky-Golay s 12 tekućih točaka podataka i navedenim polinomom.
Smoothing Polynomial,Polinom za izglađivanje
Baseline Correction,Korekcija osnovne linije
Baseline Correction Help,Pomoć za korekciju osnovne vrijednosti
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ova rutina korekcije osnovne linije ima dvije opcije za korekciju osnovne linije, 1) postupak polinoma imodpolyfit za iterativno pronalaženje osnovne linije spektra korištenjem polinoma koji odgovara cijelom području spektra. 2) ručne linije se mogu nacrtati pomoću alata za crtanje na crtežu, a ispravan gumb koristit će linije za oduzimanje osnovne crte."
Baseline Correction Polynomial,Polinom korekcije osnovne linije
Technique,Tehnika
Polynomial,Polinom
Manual,Priručnik
Correct With Trace,Ispravno s tragom
Reset,Resetiraj
Range Selection,Odabir raspona
Spectral Range Help,Pomoć za spektralni raspon
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ograničavanje spektralnog raspona može ukloniti područja spektra u kojima ne postoje vrhovi i poboljšati podudaranje
Maximum Spectral Range,Maksimalni spektralni raspon
Minimum Spectral Range,Minimalni spektralni raspon
Identify Spectrum,Identificirajte Spectrum
Identify Spectrum Using the Reference Library,Identificirajte spektar pomoću referentne biblioteke
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Tip
Spectrum Type Help,Pomoć za vrstu spektra
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ovaj odabir će odrediti hoće li se koristiti FTIR ili Raman knjižnica podudaranja. Odaberite vrstu spektra koja je prenesena.
Analysis,Analiza
Processed,Obrađeno
Uploaded,Učitano
Spectrum to Analyze Help,Pomoć za analizu spektra
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ovaj odabir će odrediti hoće li se u podudaranju spektra koristiti preneseni (neobrađeni) spektar ili spektar obrađen pomoću kartice za obradu.
Region,Regija
Full,Pun
Peaks,Vrhovi
Region to Match Help,Regija za podudaranje Pomoć
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ovaj odabir će odrediti da li se knjižnica s kojom se podudarate sastoji od cijelog spektra ili samo od vrhova spektra.
Partner With Us,Partner s nama
Help us reach our goal of revolutionizing spectroscopy.,Pomozite nam postići naš cilj revolucioniranja spektroskopije.
Donate Cash,Donirajte gotovinu
Buy From Swag Store,Kupujte u Swag Storeu
Contribute time,Doprinesite vrijeme
Revolutionizing,Revolucioniranje
Thriving,Uspješan
Maintaining,Održavanje
Supporting,Podržavajući
Saving,Spremanje
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Plaćeni tim koji gura Open Specy bliže krajnjem cilju 100% točne spektralne identifikacije i duboke spektralne dijagnostike jednim klikom
A single paid staff person working to update and build the community and the tool,Jedno plaćeno osoblje radi na ažuriranju i izgradnji zajednice i alata
Maintenance costs and minor ad-hoc updates and bug fixes,Troškovi održavanja i manja ad-hoc ažuriranja i ispravci pogrešaka
Keeping the app online and essential maintenance,Održavanje aplikacije na mreži i bitno održavanje
Long term storage only,Samo dugotrajno skladištenje
Sharing Metadata,Dijeljenje metapodataka
Thank you for sharing your data!,Hvala vam što dijelite svoje podatke!
Your data will soon be available at https://osf.io/stmv4/,Vaši će podaci uskoro biti dostupni na https://osf.io/stmv4/
Something went wrong :-(,Nešto je pošlo po zlu :-(
Data type not supported!,Vrsta podataka nije podržana!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Prenesena vrsta podataka trenutno nije podržana; Molim
                      provjerite opise i karticu ""O"" za detalje."
Sharing Spectrum to Community Library,Dijeljenje spektra u biblioteku zajednice
Reading Spectrum,Spektar čitanja
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ako ste prenijeli tekstualnu/csv datoteku, provjerite je li
           stupci su numerički i nazivaju se ""valni broj"" i
           'intenzitet'."
absorbance intensity [-],intenzitet apsorpcije [-]
wavenumber [cm<sup>-1</sup>],valni broj [cm<sup>-1</sup>]
Analyzing Spectrum,Analiziranje spektra
Finding Match,Pronalaženje podudaranja
Making Plot,Izrada parcele
Material,Materijal
Pearson's r,Pearsonova r
Organization,Organizacija
Selectable Matches,Odabirne utakmice
Donations,Donacije
Operation Costs,Operativni troškovi
Selection Metadata,Metapodaci odabira
