en,fy
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","As jo wolle, diele wy jo uploade spektra en ynstellingen mei de spektroskopiemienskip.
           Standert wurde alle gegevens lisinsje jûn ûnder Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Opladen spektra sille hjir ferskine: https://osf.io/rjg3c"
Upload Help,Upload Help
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Upload Raman- as FTIR-spektrumbestannen as in csv, jdx, spc of spa. In csv-bestân hat de foarkar. As in csv, moat it bestân ien kolom befetsje mei 'wavennumber' yn ienheden fan (1/cm) en in oare kolom mei 'yntensiteit' yn absorbance-ienheden.
            As jdx, spc, spa, of 0 it bestân moat wêze in inkele absorbance spektrum mei wavennumber yn (1 / cm). Dizze bestannen sille net altyd perfekt wurkje, om't se lestich binne om te lêzen, dus kontrolearje se dûbel yn in oare software.
            Klikje op de knop 'Testgegevens' om in foarbyld fan Raman-spektrum te downloaden."
Intensity Adjustment,Yntensiteit Oanpassing
None,Gjin
Transmittance,Oerdracht
Reflectance,Refleksje
Intensity Correction Help,Intensity Correction Help
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","As it uploade spektrum net yn absorbance-ienheden is,
           brûk dizze ynfier om de ienheden oan te jaan om fan te konvertearjen. Open Specy kin
           oanpasse reflectance of transmittance spektra oan Absorbance ienheden mei help
           dit dellûk yn it ljepblêd uploadtriem. Alle foargeande ljeppers
           der fan út dat de gegevens binne yn absorbance ienheden dus jo moatte meitsje de
           korreksje foardat jo trochgean as nedich. De oerdracht oanpassing
           brûkt de log10 (1 / T) berekkening dy't net korrigearje foar systeem
           en partikel skaaimerken. De reflectance oanpassing brûkt de
           Kubelka-Munk-fergeliking (1-R)2/(2*R). Wy geane der fan út dat de wjerspegeling
           wurdt opmakke as in persintaazje fan 1-100 en korrigearje earst de yntensiteit troch te dielen troch 100
           sadat it past by de foarm ferwachte troch de fergeliking.
           As gjinien is selektearre, giet Open Specy derfan út dat de opladen gegevens binne
           in absorbance spektrum."
Sample File,Sample Triem
Sample Data Help,Sample Data Help
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Dit is in foarbyldspektrum dat kin wurde opladen nei it ark om it út te testen en te begripen hoe't de csv-bestannen opmakke wurde moatte.
Metadata Input,Metadata Ynfier
Metadata Help,Metadata Help
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Wy diele alle opladen spektra en metadata mei de spektroskopy-mienskip as jo de metadata hjir ynfolje en diele selektearje.
           Opladen spektra en metadata sille hjir ferskine: https://osf.io/rjg3c"
Share Metadata,Diele Metadata
Upload some data to get started...,Upload wat gegevens om te begjinnen ...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Glad, basisline korrekt, en download ferwurke spektra"
Download (recommended),Download (oanrikkemandearre)
Download Help,Download Help
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Guon brûkers wolle miskien in kopy fan har ferwurke spektrum opslaan. Dizze knop downloadt it ferwurke spektrum as in csv-bestân.
Smoothing,Glêdmeitsjen
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Dizze flüssiger kin de sinjaal-oan-lûdferhâlding fan 'e gegevens ferbetterje en brûkt in Savitzky-Golay-filter mei 12 rinnende gegevenspunten en it oantsjutte polynoom.
Smoothing Polynomial,Smoothing polynoom
Baseline Correction,Baseline Correction
Baseline Correction Help,Basisline Correction Help
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Dit baseline korreksje routine hat twa opsjes foar baseline korreksje, 1) de polynomial imodpolyfit proseduere om iteratively fine de baseline fan it spektrum mei help fan in polynomial fit oan de hiele regio fan it spektrum. 2) hânmjittige rigels kinne wurde tekene mei it line-ark op 'e plot en de juste knop sil de linen brûke om de basisline te subtractearjen."
Baseline Correction Polynomial,Basisline korreksje polynoom
Technique,Technyk
Polynomial,Polynomiaal
Manual,Hantlieding
Correct With Trace,Korrekt mei Trace
Reset,Weromsette
Range Selection,Range Seleksje
Spectral Range Help,Spectral Range Help
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,It beheinen fan it spektrale berik kin regio's fan spektrum fuortsmite wêr't gjin peaks besteane en oerienkomst ferbetterje
Maximum Spectral Range,Maksimum Spectral Range
Minimum Spectral Range,Minimum Spectral Range
Identify Spectrum,Spektrum identifisearje
Identify Spectrum Using the Reference Library,Spektrum identifisearje mei de Reference Library
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Type
Spectrum Type Help,Spektrum Type Help
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Dizze seleksje sil bepale oft de FTIR of Raman oerienkommende bibleteek wurdt brûkt. Kies it spektrumtype dat is upload.
Analysis,Analyse
Processed,Ferwurke
Uploaded,Uploaded
Spectrum to Analyze Help,Spektrum om Help te analysearjen
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Dizze seleksje sil bepale oft de uploaded (net ferwurke) spektrum of it spektrum ferwurke mei help fan it ferwurkjen ljepper wurdt brûkt yn de spektrum wedstriid.
Region,Regio
Full,Fol
Peaks,Peaks
Region to Match Help,Regio te Match Help
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Dizze seleksje sil bepale oft de bibleteek wêrmei jo oerienkomme bestiet út it folsleine spektrum of allinich spektrumpieken.
Partner With Us,Partner mei ús
Help us reach our goal of revolutionizing spectroscopy.,Help ús ús doel te berikken fan revolúsjonearjen fan spektroskopie.
Donate Cash,Donearje Cash
Buy From Swag Store,Keapje fan Swag Store
Contribute time,Bydrage tiid
Revolutionizing,Revolúsjonearjend
Thriving,Bloeiend
Maintaining,Underhâlden
Supporting,Stipe
Saving,Besparje
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,In betelle team dat Open Specy tichter by it ultime doel triuwt fan 100% krekte spektrale identifikaasje en djippe spektrale diagnoaze mei ien klik
A single paid staff person working to update and build the community and the tool,Ien betelle personiel dy't wurket om de mienskip en it ark te aktualisearjen en op te bouwen
Maintenance costs and minor ad-hoc updates and bug fixes,Ûnderhâldskosten en lytse ad-hoc updates en bug fixes
Keeping the app online and essential maintenance,De app online hâlde en essensjeel ûnderhâld
Long term storage only,Allinnich opslach op lange termyn
Sharing Metadata,Diele Metadata
Thank you for sharing your data!,Tankewol foar it dielen fan jo gegevens!
Your data will soon be available at https://osf.io/stmv4/,Jo gegevens sille ynkoarten beskikber wêze op https://osf.io/stmv4/
Something went wrong :-(,Der is wat misgien :-(
Data type not supported!,Gegevenstype net stipe!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Opladen gegevenstype wurdt op it stuit net stipe; asjebleaft
                      kontrolearje tooltips en 'Oer' ljepper foar details."
Sharing Spectrum to Community Library,Spektrum diele nei Community Library
Reading Spectrum,Reading Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","As jo in tekst-/csv-bestân uploade, soargje derfoar dat de
           kolommen binne numerike en neamd 'wavennumber' en
           'intensiteit'."
absorbance intensity [-],absorptionsintensiteit [-]
wavenumber [cm<sup>-1</sup>],golfnûmer [cm<sup>-1</sup>]
Analyzing Spectrum,Analysearje Spectrum
Finding Match,Matching fine
Making Plot,Plot meitsje
Material,Materiaal
Pearson's r,Pearson syn r
Organization,Organisaasje
Selectable Matches,Selekteare Wedstriden
Donations,Donaasjes
Operation Costs,Operaasje Kosten
Selection Metadata,Seleksje Metadata
