en,jw
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Kabeh paramèter ing alat iki dites kanggo validasi
           alat wis fungsi minangka paling apik lan nemtokake standar paling apik
           paramèter kanggo nggunakake. Proses validasi saiki kalebu koreksi
           entri duplikat ing perpustakaan referensi, mriksa spektrum ing
           metadata sing ora ana ing perpustakaan spektral, lan njamin standar
           paramèter nyedhiyani liwat 80% akurasi ing pertandhingan pisanan."
Detailed Validation Procedure,Prosedur Validasi sing rinci
"Updates, Feature Requests, and Bug Reports","Nganyari, Panjaluk Fitur, lan Laporan Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kita nglacak kabeh nganyari nggunakake kontrol versi ing kode kita. Fitur bisa dijaluk lan bug dilaporake ing GitHub.
Stay up to date!,Tetep gaul!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Tindakake kita ing Twitter @OpenSpecy. E-mail wincowger@gmail.com kanggo ditambahake menyang mailing list.
Citation,Kutipan
Useful Links,Pranala Migunani
Free FTIR Software: siMPle microplastic IR spectral identification software,Piranti Lunak FTIR Gratis: piranti lunak identifikasi spektral IR mikroplastik sederhana
Free Spectroscopy Learning Academy from ThermoFisher,Akademi Pembelajaran Spektroskopi Gratis saka ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Sumber Belajar Mikroskop Optik Gratis saka Florida State University
Free desktop application for spectral analysis and links to reference databases.,Aplikasi desktop gratis kanggo analisis spektral lan pranala menyang database referensi.
Terms And Conditions,Sarat lan Ketentuan
Privacy Policy,Kebijakan Privasi
Upload File,Upload File
"Upload, View, and Share Spectra","Upload, Ndeleng, lan Nuduhake Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Pilih .csv (luwih disenengi), .asp, .jdx, .spc, .spa, utawa .0 File"
Share Your Data?,Nuduhake Data Sampeyan?
Share Help,Nuduhake Pitulung
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Yen sampeyan seneng, kita nuduhake spektrum lan setelan sing diunggah karo komunitas spektroskopi.
           Kanthi gawan, kabeh data bakal dilisensi ing Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Spektrum sing diunggah bakal katon ing kene: https://osf.io/rjg3c"
Upload Help,Unggah Pitulung
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Unggah file spektrum Raman utawa FTIR minangka csv, jdx, spc, utawa spa. File csv luwih disenengi. Yen csv, file kasebut kudu ngemot siji kolom kanthi label 'wavenumber' ing unit (1/cm) lan kolom liyane kanthi label 'intensitas' ing unit absorbansi.
            Yen jdx, spc, spa, utawa 0 file kudu spektrum absorbansi siji kanthi nomer gelombang ing (1/cm). File-file kasebut ora mesthi bisa digunakake kanthi sampurna amarga angel diwaca, mula priksa maneh ing piranti lunak liyane.
            Pencet tombol 'Data Tes' kanggo ndownload sampel spektrum Raman."
Intensity Adjustment,Imbuhan Intensitas
None,ora ana
Transmittance,Pangiriman
Reflectance,Refleksi
Intensity Correction Help,Pitulung Koreksi Intensitas
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Yen spektrum sing diunggah ora ana ing unit penyerapan,
           nggunakake input iki kanggo nemtokake Unit kanggo ngowahi saka.Open Specy bisa
           nyetel reflektansi utawa transmitansi spektrum kanggo Unit panyerepan nggunakake
           gulung iki ing tab upload file. Kabeh tab sadurunge
           nganggep yen data ana ing unit absorbance supaya sampeyan kudu nggawe
           koreksi sadurunge nerusake yen perlu. Penyesuaian transmisi
           nggunakake log10 (1/T) pitungan sing ora bener kanggo sistem
           lan karakteristik partikel. Imbuhan reflektansi nggunakake
           Persamaan Kubelka-Munk (1-R)2/(2*R). Kita nganggep yen reflektansi
           diformat minangka persen saka 1-100 lan pisanan mbenerake intensitas kanthi dibagi 100
           supaya pas karo wangun samesthine dening pepadhan.
           Yen ora ana sing dipilih, Open Specy nganggep yen data sing diunggah yaiku
           spektrum absorbansi."
Sample File,File Sample
Sample Data Help,Bantuan Data Sampel
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Iki minangka spektrum conto sing bisa diunggah menyang alat kanggo nyoba lan ngerti carane file csv kudu diformat.
Metadata Input,Input Metadata
Metadata Help,Bantuan Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Kita nuduhake spektrum lan metadata sing diunggah karo komunitas spektroskopi yen sampeyan ngisi metadata ing kene banjur pilih bareng.
           Spektrum lan metadata sing diunggah bakal katon ing kene: https://osf.io/rjg3c"
Share Metadata,Nuduhake Metadata
Upload some data to get started...,Unggah sawetara data kanggo miwiti...
Preprocess Spectrum,Spektrum pra-proses
"Smooth, Baseline Correct, and Download Processed Spectra","Gamelan, Baseline Bener, lan Ngundhuh Spectra Diproses"
Download (recommended),Ngundhuh (dianjurake)
Download Help,Download Pitulung
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Sawetara pangguna bisa uga pengin nyimpen salinan spektrum sing wis diproses. Tombol iki ngundhuh spektrum sing diproses minangka file csv.
Smoothing,Gamelan
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Gamelan iki bisa nambah rasio sinyal kanggo gangguan saka data lan nggunakake Filter Savitzky-Golay karo 12 titik data mlaku lan polynomial kasebut.
Smoothing Polynomial,Polinomial Smoothing
Baseline Correction,Koreksi Baseline
Baseline Correction Help,Bantuan Koreksi Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Rutinitas koreksi garis dasar iki nduweni rong pilihan kanggo koreksi garis dasar, 1) prosedur imodpolyfit polinomial kanggo nggoleki garis dasar spektrum kanthi nggunakke pas polinomial kanggo kabeh wilayah spektrum. 2) garis manual bisa digambar nggunakake alat baris ing plot lan tombol bener bakal nggunakake garis kanggo nyuda garis dasar."
Baseline Correction Polynomial,Polinomial Koreksi Baseline
Technique,Teknik
Polynomial,Polinomial
Manual,manual
Correct With Trace,Bener Kanthi Trace
Reset,Reset
Range Selection,Pilihan Range
Spectral Range Help,Spektral Range Pitulung
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Watesan jangkoan spektral bisa ngilangi wilayah spektrum sing ora ana puncak lan nambah sing cocog
Maximum Spectral Range,Range Spektral Maksimum
Minimum Spectral Range,Rentang Spektral Minimal
Identify Spectrum,Ngenali Spektrum
Identify Spectrum Using the Reference Library,Ngenali Spektrum Nggunakake Pustaka Referensi
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Jinis
Spectrum Type Help,Pitulung Tipe Spektrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Pilihan iki bakal nemtokake apa perpustakaan cocog FTIR utawa Raman digunakake. Pilih jinis spektrum sing diunggah.
Analysis,Analisis
Processed,Diproses
Uploaded,Diunggahake
Spectrum to Analyze Help,Spektrum kanggo Nganalisis Bantuan
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Pilihan iki bakal nemtokake manawa spektrum sing diunggah (ora diproses) utawa spektrum sing diproses nggunakake tab pangolahan digunakake ing pertandhingan spektrum.
Region,wilayah
Full,kebak
Peaks,Puncak
Region to Match Help,Bantuan Wilayah kanggo Cocokake
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Pilihan iki bakal nemtokake manawa perpustakaan sing cocog karo sampeyan kalebu spektrum lengkap utawa mung puncak spektrum.
Partner With Us,Partner karo Kita
Help us reach our goal of revolutionizing spectroscopy.,Tulung kita nggayuh tujuan kanggo ngrevolusi spektroskopi.
Donate Cash,Sumbangan Awis
Buy From Swag Store,Tuku Saka Toko Swag
Contribute time,Sumbangan wektu
Revolutionizing,Revolutionizing
Thriving,Ngembang
Maintaining,Njaga
Supporting,Ndhukung
Saving,Ngirit
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tim mbayar sing nyurung Open Specy luwih cedhak karo tujuan utama 100% identifikasi spektral sing akurat lan diagnostik spektral jero kanthi siji klik
A single paid staff person working to update and build the community and the tool,Wong sing dibayar siji-sijine sing kerja kanggo nganyari lan mbangun komunitas lan alat kasebut
Maintenance costs and minor ad-hoc updates and bug fixes,Biaya pangopènan lan nganyari ad-hoc cilik lan ndandani bug
Keeping the app online and essential maintenance,Tetep app online lan pangopènan penting
Long term storage only,Mung panyimpenan jangka panjang
Sharing Metadata,Nuduhake Metadata
Thank you for sharing your data!,Matur nuwun kanggo nuduhake data!
Your data will soon be available at https://osf.io/stmv4/,Data sampeyan bakal kasedhiya ing https://osf.io/stmv4/
Something went wrong :-(,Ana sing salah:-(
Data type not supported!,Jinis data ora didhukung!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Jinis data sing diunggah saiki ora didhukung; mangga
                      mriksa tooltips lan tab 'About' kanggo rincian."
Sharing Spectrum to Community Library,Nuduhake Spectrum menyang Perpustakaan Komunitas
Reading Spectrum,Spektrum maca
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Yen sampeyan ngunggah file teks/csv, priksa manawa file
           kolom iku numerik lan dijenengi 'wavenumber' lan
           'intensitas'."
absorbance intensity [-],intensitas penyerapan [-]
wavenumber [cm<sup>-1</sup>],nomer gelombang [cm<sup>-1</sup>]
Analyzing Spectrum,Analisis Spektrum
Finding Match,Golek Cocokake
Making Plot,Nggawe Plot
Material,Bahan
Pearson's r,Pearson kang r
Organization,Organisasi
Selectable Matches,Cocokake sing bisa dipilih
Donations,Sumbangan
Operation Costs,Biaya Operasi
Selection Metadata,Metadata Pilihan
