en,ny
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Timagawana zowonera zilizonse zomwe zidakwezedwa ndi metadata ndi gulu lazowonera ngati mudzaza metadata pano ndikusankha kugawana.
           Zithunzi zojambulidwa ndi metadata ziwoneka apa: https://osf.io/rjg3c"
Share Metadata,Gawani Metadata
Upload some data to get started...,Kwezani data kuti muyambe...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct, ndi Download Processed Spectra"
Download (recommended),Tsitsani (kovomerezeka)
Download Help,Tsitsani Thandizo
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Ogwiritsa ntchito ena angafune kusunga kopi ya mawonekedwe awo okonzedwa. Batani ili likutsitsa mawonekedwe okonzedwa ngati fayilo ya csv.
Smoothing,Kufewetsa
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Izi zosalala zimatha kupititsa patsogolo chiŵerengero cha chiŵerengero cha phokoso la deta ndikugwiritsa ntchito fyuluta ya Savitzky-Golay yokhala ndi 12 yothamanga mfundo za data ndi polynomial yotchulidwa.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,Kuwongolera Kwachiyambi
Baseline Correction Help,Thandizo Lowongolera Zoyambira
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Chizoloŵezi chokonzekera choyambirachi chili ndi njira ziwiri zokonzera zoyambira, 1) njira ya polynomial imodpolyfit kuti apeze mozama maziko a sipekitiramu pogwiritsa ntchito polynomial fit kudera lonse la spectra. 2) mizere yamanja ikhoza kujambulidwa pogwiritsa ntchito chida cha mzere pa chiwembucho ndipo batani lolondola lidzagwiritsa ntchito mizereyo kuchotsa zoyambira."
Baseline Correction Polynomial,Baseline Correction Polynomial
Technique,Njira
Polynomial,Polynomial
Manual,Pamanja
Correct With Trace,Zolondola ndi Trace
Reset,Bwezerani
Range Selection,Range Selection
Spectral Range Help,Thandizo la Spectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Kuchepetsa kusiyanasiyana kwa mawonekedwe kumatha kuchotsa madera omwe kulibe nsonga zapamtunda ndikuwongolera kufanana
Maximum Spectral Range,Maximum Spectral Range
Minimum Spectral Range,Minimum Spectral Range
Identify Spectrum,Dziwani Spectrum
Identify Spectrum Using the Reference Library,Dziwani Spectrum Pogwiritsa Ntchito Reference Library
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Mtundu
Spectrum Type Help,Chithandizo cha Spectrum Type
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Kusankhidwaku kudzatsimikizira ngati laibulale yofananira ya FTIR kapena Raman ikugwiritsidwa ntchito. Sankhani mtundu wa sipekitiramu womwe udakwezedwa.
Analysis,Kusanthula
Processed,Zakonzedwa
Uploaded,Zakwezedwa
Spectrum to Analyze Help,Spectrum Kusanthula Thandizo
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Kusankhidwa kumeneku kudzatsimikizira ngati sipekitiramu yokwezedwa (yosasinthidwa) kapena sipekitiramu yokonzedwa pogwiritsa ntchito tabu yokonzekera ikugwiritsidwa ntchito pamasewera.
Region,Chigawo
Full,Zodzaza
Peaks,Nsonga
Region to Match Help,Thandizo la Dera lofananira
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Kusankhidwa kumeneku kudzatsimikizira ngati laibulale yomwe mukufananitsa ili ndi mawonekedwe athunthu kapena nsonga zamitundu yonse.
Partner With Us,Gwirizanani Nafe
Help us reach our goal of revolutionizing spectroscopy.,Tithandizeni kukwaniritsa cholinga chathu chosintha mawonekedwe a spectroscopy.
Donate Cash,Perekani Ndalama
Buy From Swag Store,Gulani ku Swag Store
Contribute time,Perekani nthawi
Revolutionizing,Revolutionizing
Thriving,Kutukuka
Maintaining,Kusamalira
Supporting,Kuthandizira
Saving,Kusunga
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Gulu lolipidwa lomwe likukankhira Open Specy kufupi ndi cholinga chachikulu cha 100% chizindikiritso cholondola cha 100% ndi kuwunika kozama kowonekera ndikudina kamodzi.
A single paid staff person working to update and build the community and the tool,Wogwira ntchito m'modzi wolipidwa akugwira ntchito yokonzanso ndi kumanga dera ndi chida
Maintenance costs and minor ad-hoc updates and bug fixes,Ndalama zosamalira komanso zosintha zazing'ono za ad-hoc ndi kukonza zolakwika
Keeping the app online and essential maintenance,Kusunga pulogalamuyi pa intaneti komanso kukonza kofunikira
Long term storage only,Kusungirako nthawi yayitali kokha
Sharing Metadata,Kugawana Metadata
Thank you for sharing your data!,Zikomo pogawana deta yanu!
Your data will soon be available at https://osf.io/stmv4/,Zambiri zanu zipezeka posachedwa https://osf.io/stmv4/
Something went wrong :-(,Chinachake chalakwika :-(
Data type not supported!,Mtundu wa data sunagwiritsidwe!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Mtundu wa data wokwezedwa sunagwiritsidwe ntchito pano; Chonde
                      onani zida ndi tabu ya 'About' kuti mumve zambiri."
Sharing Spectrum to Community Library,Kugawana Spectrum ku Community Library
Reading Spectrum,Kuwerenga Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ngati mudakweza fayilo ya text/csv, onetsetsani kuti
           mizati ndi manambala ndipo amatchedwa 'wavenumber' ndi
           'mphamvu'."
absorbance intensity [-],kuyamwa mwamphamvu [-]
wavenumber [cm<sup>-1</sup>],chiwerengero [cm<sup>-1</sup>]
Analyzing Spectrum,Kusanthula Spectrum
Finding Match,Kupeza Zofananira
Making Plot,Kupanga Chiwembu
Material,Zakuthupi
Pearson's r,Pearson ndi r
Organization,Bungwe
Selectable Matches,Zofananira Zosankhika
Donations,Zopereka
Operation Costs,Ndalama Zogwirira Ntchito
Selection Metadata,Selection Metadata
