en,bg
FTIR Reference Library,FTIR справочна библиотека
Raman Reference Library Metadata,Метаданни от референтната библиотека на Раман
FTIR Reference Library Metadata,Метаданни на референтната библиотека на FTIR
Contribute Spectra,Допринесете за Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","За споделяне на спектри качете файл в раздела за качване на файлове. Ако сте избрали Споделяне, копие от вашите спектри ще бъде изпратено на Общността
           Склад за данни върху Open Science Framework. За да добавите допълнителни метаданни,
           попълнете наличните полета с метаданни и щракнете върху -Споделяне на данни-. В
           spectra файл, който сте качили заедно с вашите отговори, ще бъде копиран
           към подпапката a -With Metadata- на връзката по-долу. Всички споделени данни се съхраняват
           лиценз Creative Commons Attribution 4.0."
Community Data Warehouse,Склад за данни на общността
Tool Validation,Проверка на инструмента
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Всички параметри в този инструмент са тествани, за да се потвърди това
           инструментът функционира възможно най-добре и определя най-доброто по подразбиране
           параметри за използване. Нашата текуща процедура за валидиране включва коригиране
           дублирани записи в референтните библиотеки, проверка за спектри в
           метаданни, които не са в спектралната библиотека, и гарантиране на по подразбиране
           параметрите осигуряват над 80% точност в първия мач."
Detailed Validation Procedure,Подробна процедура за валидиране
"Updates, Feature Requests, and Bug Reports","Актуализации, заявки за функции и доклади за грешки"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Ние следим всички актуализации, използвайки контрол на версиите на нашия код. Функциите могат да бъдат заявени и докладвани за грешки в GitHub."
Stay up to date!,Бъдете в течение!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Следвайте ни в Twitter @OpenSpecy. Изпратете имейл на wincowger@gmail.com, за да бъдете добавени към пощенския списък."
Citation,Цитат
Useful Links,Полезни връзки
Free FTIR Software: siMPle microplastic IR spectral identification software,Безплатен софтуер за FTIR: прост софтуер за микропластична IR спектрална идентификация
Free Spectroscopy Learning Academy from ThermoFisher,Безплатна академия за обучение по спектроскопия от ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Безплатен учебен ресурс по оптична микроскопия от Държавния университет на Флорида
Free desktop application for spectral analysis and links to reference databases.,Безплатно настолно приложение за спектрален анализ и връзки към референтни бази данни.
Terms And Conditions,Правила и условия
Privacy Policy,Политика за поверителност
Upload File,Качи файл
"Upload, View, and Share Spectra","Качване, разглеждане и споделяне на Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Изберете .csv (за предпочитане), .asp, .jdx, .spc, .spa или .0 файл"
Share Your Data?,Споделете вашите данни?
Share Help,Споделете помощ
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ако желаете, ние споделяме вашите качени спектри и настройки с общността на спектроскопията.
           По подразбиране всички данни ще бъдат лицензирани съгласно Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Качените спектри ще се появят тук: https://osf.io/rjg3c"
Upload Help,Помощ за качване
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Качете файлове със спектър на Raman или FTIR като csv, jdx, spc или spa. За предпочитане е csv файл. Ако е csv, файлът трябва да съдържа една колона, означена с „номер на вълната“ в единици (1/cm) и друга колона с етикет „интензитет“ в единици за абсорбция.
            Ако jdx, spc, spa или 0, файлът трябва да бъде единичен спектър на абсорбция с вълново число в (1/cm). Тези файлове не винаги работят перфектно, защото са трудни за четене, така че ги проверете в друг софтуер.
            Натиснете бутона „Тестови данни“, за да изтеглите примерен раманов спектър."
Intensity Adjustment,Регулиране на интензитета
None,Нито един
Transmittance,Предаване
Reflectance,Отражение
Intensity Correction Help,Помощ за корекция на интензитета
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ако каченият спектър не е в абсорбционни единици,
           използвайте този вход, за да посочите мерните единици, от които да конвертирате. Open Specy може
           коригирайте спектрите на отражение или пропускане към единици за абсорбция, като използвате
           това падащо меню в раздела за качване на файл. Всички предходни раздели
           приемем, че данните са в единици за абсорбция, така че трябва да направите
           корекция, преди да продължите, ако е необходимо. Регулиране на пропускливостта
           използва изчислението log10(1/T), което не е коректно за системата
           и характеристики на частиците. Регулирането на отражението използва
           Уравнение на Кубелка-Мунк (1-R)2/(2*R). Предполагаме, че отражението
           се форматира като процент от 1-100 и първо коригирайте интензитета, като разделите на 100
           така че да отговаря на формата, очаквана от уравнението.
           Ако не е избран нито един, Open Specy приема, че качените данни са
           абсорбционен спектър."
Sample File,Примерен файл
Sample Data Help,Помощ за примерни данни
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Това е примерен спектър, който може да бъде качен в инструмента, за да го тествате и да разберете как трябва да бъдат форматирани csv файловете."
Metadata Input,Въвеждане на метаданни
Metadata Help,Помощ за метаданни
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Споделяме всички качени спектри и метаданни с общността на спектроскопията, ако попълните метаданните тук и изберете споделяне.
           Качените спектри и метаданни ще се появят тук: https://osf.io/rjg3c"
Share Metadata,Споделяне на метаданни
Upload some data to get started...,"Качете малко данни, за да започнете..."
Preprocess Spectrum,Предварителен спектър
"Smooth, Baseline Correct, and Download Processed Spectra","Гладка, коректна базова линия и изтегляне на обработени спектри"
Download (recommended),Изтегляне (препоръчително)
Download Help,Изтеглете помощ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Някои потребители може да пожелаят да запишат копие от своя обработен спектър. Този бутон изтегля обработения спектър като csv файл.
Smoothing,Изглаждане
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Този плавник може да подобри съотношението сигнал/шум на данните и използва филтър Савицки-Голай с 12 текущи точки от данни и посочения полином.
Smoothing Polynomial,Изглаждащ полином
Baseline Correction,Корекция на базовата линия
Baseline Correction Help,Помощ за корекция на базовата линия
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Тази рутина за корекция на базовата линия има две опции за корекция на базовата линия, 1) полиномната процедура imodpolyfit за итеративно намиране на базовата линия на спектъра, като се използва полиномно прилягане към цялата област на спектрите. 2) ръчните линии могат да бъдат начертани с помощта на инструмента за линия на графика и правилният бутон ще използва линиите за изваждане на основната линия."
Baseline Correction Polynomial,Полином за корекция на базовата линия
Technique,Техника
Polynomial,Полином
Manual,Ръководство
Correct With Trace,Коректно с Trace
Reset,Нулиране
Range Selection,Избор на обхват
Spectral Range Help,Помощ за спектрален диапазон
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Ограничаването на спектралния диапазон може да премахне области от спектъра, където не съществуват пикове, и да подобри съвпадението"
Maximum Spectral Range,Максимален спектрален обхват
Minimum Spectral Range,Минимален спектрален обхват
Identify Spectrum,Идентифицирайте спектъра
Identify Spectrum Using the Reference Library,Идентифицирайте спектъра с помощта на справочната библиотека
Raman,Раман
FTIR,FTIR
Spectra,Спектри
Type,Тип
Spectrum Type Help,Помощ за тип спектър
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Този избор ще определи дали се използва FTIR или Raman библиотеката за съвпадение. Изберете типа спектър, който е качен."
Analysis,Анализ
Processed,Обработено
Uploaded,Качен
Spectrum to Analyze Help,Спектър за анализ Помощ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Този избор ще определи дали каченият (необработен) спектър или спектърът, обработен с раздела за обработка, се използва в съответствието на спектъра."
Region,регион
Full,Пълен
Peaks,върхове
Region to Match Help,Помощ за регион за съвпадение
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Този избор ще определи дали библиотеката, към която съпоставяте, се състои от пълния спектър или само от спектърни пикове."
Partner With Us,Партнирайте с нас
Help us reach our goal of revolutionizing spectroscopy.,Помогнете ни да постигнем целта си да революционизираме спектроскопията.
Donate Cash,Дарете пари в брой
Buy From Swag Store,Купете от Swag Store
Contribute time,Дайте своя принос
Revolutionizing,Революционизиращ
Thriving,Процъфтяващ
Maintaining,Поддържане
Supporting,Поддържащи
Saving,Запазване
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Платен екип, който приближава Open Specy до крайната цел за 100% точна спектрална идентификация и дълбока спектрална диагностика с едно щракване"
A single paid staff person working to update and build the community and the tool,"Един платен персонал, който работи за актуализиране и изграждане на общността и инструмента"
Maintenance costs and minor ad-hoc updates and bug fixes,Разходи за поддръжка и малки ad-hoc актуализации и корекции на грешки
Keeping the app online and essential maintenance,Поддържане на приложението онлайн и основна поддръжка
Long term storage only,Само за дългосрочно съхранение
Sharing Metadata,Споделяне на метаданни
Thank you for sharing your data!,"Благодарим ви, че споделихте вашите данни!"
Your data will soon be available at https://osf.io/stmv4/,Вашите данни скоро ще бъдат достъпни на https://osf.io/stmv4/
Something went wrong :-(,Нещо се обърка :-(
Data type not supported!,Типът данни не се поддържа!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Каченият тип данни в момента не се поддържа; Моля те
                      проверете подсказките и раздела „Относно“ за подробности."
Sharing Spectrum to Community Library,Споделяне на спектър към библиотеката на общността
Reading Spectrum,Спектър за четене
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ако сте качили текстов/csv файл, уверете се, че
           колоните са числови и се наричат 'wavenumber' и
           ""интензивност""."
absorbance intensity [-],интензитет на абсорбция [-]
wavenumber [cm<sup>-1</sup>],вълново число [cm<sup>-1</sup>]
Analyzing Spectrum,Анализиране на спектъра
Finding Match,Намиране на съвпадение
Making Plot,Създаване на парцел
Material,Материал
Pearson's r,Pearson's r
Organization,организация
Selectable Matches,Избираеми съвпадения
Donations,Дарения
Operation Costs,Оперативни разходи
Selection Metadata,Метаданни за избор
