en,lb
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Fir Spektrum ze deelen lued eng Datei op den Eropluedsdatei Tab. Wann Dir gewielt hutt Share eng Kopie vun Äre Spektre gëtt un d'Communautéit geschéckt
           Data Warehouse op Open Science Framework. Fir zousätzlech Metadaten ze addéieren,
           fëllt déi verfügbar Metadatenfelder aus a klickt op -Share Data-. Déi
           Spektra-Datei, déi Dir zesumme mat Ären Äntwerte eropgelueden hutt, kopéiert ginn
           an den Ënnerdopper -With Metadata- um Link hei drënner. All gedeelt Daten hält
           eng Creative Commons Attributiounslizenz 4.0."
Community Data Warehouse,Communautéit Data Warehouse
Tool Validation,Tool Validatioun
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","All Parameteren an dësem Tool ginn getest fir dat ze validéieren
           d'Tool funktionnéiert sou gutt wéi méiglech a bestëmmen déi bescht Default
           Parameteren ze benotzen. Eis aktuell Validatiounsprozedur enthält Korrektioun
           duplizéiert Entréen an de Referenzbibliothéiken, iwwerpréift fir Spektren an
           Metadaten déi net an der Spektralbibliothéik sinn, a garantéiert de Standard
           Parameteren déi iwwer 80% Richtegkeet am éischte Match."
Detailed Validation Procedure,Detailléiert Validatioun Prozedur
"Updates, Feature Requests, and Bug Reports","Updates, Feature Ufroen a Bug Berichter"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Mir verfollegen all Updates mat Versiounskontroll op eisem Code. Features kënne gefrot ginn a Feeler gemellt op GitHub.
Stay up to date!,Bleift um neiste Stand!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Follegt eis op Twitter @OpenSpecy. E-Mail wincowger@gmail.com fir op d'Mailinglëscht bäigefüügt ze ginn.
Citation,Zitat
Useful Links,Nëtzlech Linken
Free FTIR Software: siMPle microplastic IR spectral identification software,Gratis FTIR Software: Einfach Mikroplastesch IR Spektral Identifikatiounssoftware
Free Spectroscopy Learning Academy from ThermoFisher,Free Spectroscopy Learning Academy vun ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Gratis Optesch Mikroskopie Léierressource vun der Florida State University
Free desktop application for spectral analysis and links to reference databases.,Gratis Desktop-Applikatioun fir Spektralanalyse a Linken op Referenzdatenbanken.
Terms And Conditions,Konditioune
Privacy Policy,Privatsphär Politik
Upload File,Eroplueden Datei
"Upload, View, and Share Spectra","Eroplueden, kucken an deelen Spektra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Wielt .csv (bevorzugt), .asp, .jdx, .spc, .spa oder .0 Datei"
Share Your Data?,Deelen Är Donnéeën?
Share Help,Deelen Hëllef
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Wann Dir wëllt, deele mir Är eropgeluede Spektren an Astellunge mat der Spektroskopiegemeinschaft.
           Par défaut ginn all Donnéeën ënner Creative Commons Attribution-NonCommercial 4.0 International lizenzéiert (CC BY-NC 4.0).
           Eropgelueden Spektrum erschéngen hei: https://osf.io/rjg3c"
Upload Help,Eroplueden Hëllef
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Eroplueden Raman oder FTIR Spektrum Dateien als Csv, jdx, spc oder Spa. Eng Csv-Datei ass léiwer. Wann eng Csv ass, muss d'Datei eng Kolonn enthalen mam Label ""Wavenumber"" an Eenheeten vun (1/cm) an eng aner Kolonn mam Label ""Intensitéit"" an Absorptiounsunitéiten.
            Wann jdx, spc, Spa oder 0 soll d'Datei en eenzegen Absorptiounsspektrum mat Wellennummer an (1/cm) sinn. Dës Dateie funktionnéieren net ëmmer perfekt well se komplizéiert sinn ze liesen, sou datt se an enger anerer Software duebel kontrolléiert.
            Hit de 'Test Data' Knäppchen fir e Probe Raman Spektrum erofzelueden."
Intensity Adjustment,Intensitéit Upassung
None,Keen
Transmittance,Iwwerdroung
Reflectance,Reflexioun
Intensity Correction Help,Intensitéit Korrektur Hëllef
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Wann de eropgeluedene Spektrum net an Absorptiounseenheeten ass,
           benotzt dësen Input fir d'Unitéiten ze spezifizéieren fir aus ze konvertéieren.Open Specy kann
           ajustéieren reflectance oder transmittance Spektrum ze Absorbance Unitéiten benotzt
           dësen Dropdown an der Eropluedsdatei Tab. All déi viregt Tabs
           dovun ausgoen, datt d'Donnéeën an absorbance Unitéiten ass, sou sollt Dir de maachen
           Korrektur ier Dir weider geet wann néideg. D'Transmissioun Upassung
           benotzt der log10 (1 / T) Berechnung déi net fir System korrigéiert
           a Partikel Charakteristiken. D'Reflexiounsjustéierung benotzt d'
           Kubelka-Munk Equatioun (1-R)2/(2*R). Mir huelen un datt d'Reflexioun
           ass als Prozentsaz vun 1-100 formatéiert a korrigéiert als éischt d'Intensitéit andeems Dir mat 100 deelt
           sou datt et d'Form passt, déi vun der Equatioun erwaart gëtt.
           Wann keen ausgewielt ass, gëtt Open Specy ugeholl datt déi eropgelueden Donnéeën sinn
           en Absorptiounsspektrum."
Sample File,Prouf Datei
Sample Data Help,Prouf Daten Hëllef
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Dëst ass e Probespektrum deen an d'Tool eropgeluede ka ginn fir et auszeprobéieren an ze verstoen wéi d'Csv-Dateien solle formatéiert ginn.
Metadata Input,Metadaten Input
Metadata Help,Metadaten Hëllef
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Mir deelen all eropgeluede Spektren a Metadaten mat der Spektroskopiegemeinschaft wann Dir d'Metadaten hei ausfëllt a wielt deelen.
           Eropgeluede Spektre a Metadaten erschéngen hei: https://osf.io/rjg3c"
Share Metadata,Deelen Metadaten
Upload some data to get started...,Eroplueden e puer Daten fir unzefänken ...
Preprocess Spectrum,Preprocess Spektrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct, and Download Processed Spectra"
Download (recommended),Download (recommandéiert)
Download Help,Download Hëllef
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,E puer Benotzer wëllen eventuell eng Kopie vun hirem veraarbechte Spektrum späicheren. Dëse Knäppchen luet de veraarbechte Spektrum als Csv-Datei erof.
Smoothing,Glättung
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Dëse Smoother kann d'Signal-Geräischer-Verhältnis vun den Donnéeën verbesseren a benotzt e Savitzky-Golay-Filter mat 12 lafend Datepunkten an dem spezifizéierte Polynom.
Smoothing Polynomial,Glatend Polynom
Baseline Correction,Baseline Korrektur
Baseline Correction Help,Baseline Korrektur Hëllef
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Dës Baseline Korrektur Routine huet zwou Méiglechkeeten fir baseline Korrektur, 1) der polynomial imodpolyfit Prozedur fir itteratively fannen d'Basislinn vum Spektrum mat engem polynomial fit un der ganzer Regioun vun der Spektrum. 2) manuell Linnen kënne mam Zeilinstrument op der Plot gezeechent ginn an de richtege Knäppchen benotzt d'Linnen fir d'Basislinn ze subtrahéieren."
Baseline Correction Polynomial,Baseline Korrektur Polynom
Technique,Technik
Polynomial,Polynom
Manual,Manuell
Correct With Trace,Korrekt mat Trace
Reset,Zerécksetzen
Range Selection,Range Auswiel
Spectral Range Help,Spektral Range Hëllef
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,D'Spektralbereich beschränken kann d'Regiounen vum Spektrum ewechhuelen wou keng Peaks existéieren an d'Mataarbecht verbesseren
Maximum Spectral Range,Maximum Spektralberäich
Minimum Spectral Range,Minimum Spektralberäich
Identify Spectrum,Spektrum identifizéieren
Identify Spectrum Using the Reference Library,Spektrum z'identifizéieren mat der Referenzbibliothéik
Raman,Raman
FTIR,FTIR
Spectra,Spektrum
Type,Typ
Spectrum Type Help,Spektrum Typ Hëllef
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Dës Auswiel wäert bestëmmen ob d'FTIR oder Raman passende Bibliothéik benotzt gëtt. Wielt de Spektrumtyp deen eropgeluede gouf.
Analysis,Analyse
Processed,Veraarbecht
Uploaded,Eropgelueden
Spectrum to Analyze Help,Spektrum fir Analyse Hëllef
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Dës Auswiel wäert bestëmmen ob de eropgelueden (net veraarbecht) Spektrum oder de Spektrum veraarbecht mat der Veraarbechtungstab am Spektrummatch benotzt gëtt.
Region,Regioun
Full,Voll
Peaks,Peaks
Region to Match Help,Regioun ze Match Hëllef
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Dës Auswiel wäert bestëmmen ob d'Bibliothéik mat där Dir passt aus dem ganze Spektrum oder nëmmen Spektrumspeaks besteet.
Partner With Us,Partner mat eis
Help us reach our goal of revolutionizing spectroscopy.,Hëlleft eis eist Zil z'erreechen fir d'Spektroskopie ze revolutionéieren.
Donate Cash,Spende Cash
Buy From Swag Store,Kafen Vum Swag Store
Contribute time,Zäit bäidroen
Revolutionizing,Revolutionéierend
Thriving,Bléien
Maintaining,Ënnerhalt
Supporting,Ënnerstëtzung
Saving,Spueren
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,E bezuelte Team dat Open Specy méi no un d'ultimativ Zil vun 100% korrekt Spektralidentifikatioun an déif Spektraldiagnostik dréckt mat engem eenzege Klick
A single paid staff person working to update and build the community and the tool,Eng eenzeg bezuelte Mataarbechter déi schafft fir d'Gemeinschaft an d'Tool ze aktualiséieren an ze bauen
Maintenance costs and minor ad-hoc updates and bug fixes,Ënnerhaltskäschte a kleng ad-hoc Updates a Bugfixes
Keeping the app online and essential maintenance,D'App online halen a wesentlech Ënnerhalt
Long term storage only,Nëmme laangfristeg Lagerung
Sharing Metadata,Deelen Metadaten
Thank you for sharing your data!,Merci fir Är Donnéeën ze deelen!
Your data will soon be available at https://osf.io/stmv4/,Är Donnéeën wäerte geschwënn op https://osf.io/stmv4/ verfügbar sinn
Something went wrong :-(,Eppes ass falsch gaang :-(
Data type not supported!,Datentyp net ënnerstëtzt!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Eropgelueden Datetyp gëtt am Moment net ënnerstëtzt; wann ech glift
                      kontrolléiert Tooltips an 'Iwwer' Tab fir Detailer."
Sharing Spectrum to Community Library,Deele Spektrum zu Gemeinschaftsbibliothéik
Reading Spectrum,Liesen Spektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Wann Dir eng Text-/Csv-Datei eropgelueden hutt, gitt sécher datt d'
           Kolonnen sinn numeresch a genannt 'Wavenumber' an
           'Intensitéit'."
absorbance intensity [-],Absorptiounsintensitéit [-]
wavenumber [cm<sup>-1</sup>],Wavennummer [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrum analyséieren
Finding Match,Match fannen
Making Plot,Komplott maachen
Material,Material
Pearson's r,Pearson r
Organization,Organisatioun
Selectable Matches,Wielbar Mätscher
Donations,Spenden
Operation Costs,Operatiounskäschte
Selection Metadata,Auswiel Metadaten
