en,cy
FTIR Reference Library,Llyfrgell Gyfeirio FTIR
Raman Reference Library Metadata,Metadata Llyfrgell Gyfeirio Raman
FTIR Reference Library Metadata,Metadata Llyfrgell Gyfeirio FTIR
Contribute Spectra,Cyfrannu Sbectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","I rannu sbectra uwchlwythwch ffeil i'r tab uwchlwytho ffeil. Os gwnaethoch chi ddewis Rhannwch gopi o'ch sbectra i'r Gymuned
           Warws Data ar Fframwaith Gwyddoniaeth Agored. I ychwanegu metadata ychwanegol,
           llenwch y meysydd metadata y gellir eu defnyddio a chlicio -Share Data-. Mae'r
           Bydd ffeil sbectra a uwchlwythwyd gennych ynghyd â'ch ymatebion yn cael ei chopïo
           i'r is-ffolder a -With Metadata trwy'r ddolen isod. Mae'r holl ddata a rennir yn dal
           Trwydded Priodoli Creative Commons 4.0."
Community Data Warehouse,Warws Data Cymunedol
Tool Validation,Dilysu Offer
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Profir yr holl baramedrau yn yr offeryn hwn i ddilysu hynny
           mae'r offeryn yn gweithredu orau â phosibl ac yn pennu'r rhagosodiad gorau
           paramedrau i'w defnyddio. Mae ein gweithred ddilysu gyfredol yn cynnwys cywiro
           cofnodion wedi'u dyblygu yn y llyfrgelloedd cyfeirio, gan wirio am sbectra yn
           metadata nad yw yn y llyfrgell sbectrol, a sicrhau'r rhagosodiad
           mae paramedrau'n darparu cywirdeb dros 80% yn yr ornest gyntaf."
Detailed Validation Procedure,Gweithdrefn Ddilysu Fanwl
"Updates, Feature Requests, and Bug Reports","Diweddariadau, Ceisiadau Nodwedd, ac Adroddiadau Bygiau"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Rydym yn cadw golwg ar yr holl ddiweddariadau gan ddefnyddio rheolaeth fersiwn ar ein cod. Gellir gofyn am nodweddion a rhoi gwybod am nam ar GitHub.
Stay up to date!,Arhoswch yn gyfoes!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Dilynwch ni ar Twitter @OpenSpecy. E-bostiwch wincowger@gmail.com i'w ychwanegu at y rhestr bostio.
Citation,Dyfyniad
Useful Links,Dolenni Defnyddiol
Free FTIR Software: siMPle microplastic IR spectral identification software,Meddalwedd FTIR Am Ddim: meddalwedd adnabod sbectrol IR microplastig siMPle
Free Spectroscopy Learning Academy from ThermoFisher,Academi Dysgu Sbectrosgopeg Am Ddim gan ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Adnodd Dysgu Microsgopeg Optegol Am Ddim o Brifysgol Talaith Florida
Free desktop application for spectral analysis and links to reference databases.,Cymhwysiad bwrdd gwaith am ddim ar gyfer dadansoddiad sbectrol a dolenni i gronfeydd data cyfeirio.
Terms And Conditions,Telerau ac Amodau
Privacy Policy,Polisi Preifatrwydd
Upload File,Llwytho Ffeil
"Upload, View, and Share Spectra","Llwytho, Gweld, a Rhannu Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Dewiswch .csv (a ffefrir), .asp, .jdx, .spc, .spa, neu .0 Ffeil"
Share Your Data?,Rhannwch Eich Data?
Share Help,Rhannu Cymorth
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Os dymunwch, rydym yn rhannu eich sbectra a'ch gosodiadau sydd wedi'u huwchlwytho â'r gymuned sbectrosgopeg.
           Yn ddiofyn, bydd yr holl ddata yn cael ei drwyddedu o dan Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Bydd sbectra wedi'i lwytho i fyny yn ymddangos yma: https://osf.io/rjg3c"
Upload Help,Llwythwch Help
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Llwythwch ffeiliau sbectrwm Raman neu FTIR fel csv, jdx, spc, neu sba. Mae'n well cael ffeil csv. Os yw csv, rhaid i'r ffeil gynnwys un golofn wedi'i labelu 'wavenumber' mewn unedau o (1 / cm) a cholofn arall wedi'i labelu 'dwyster' mewn unedau amsugno.
            Os yw jdx, spc, spa, neu 0 dylai'r ffeil fod yn sbectrwm amsugno sengl gyda llifddwr ynddo (1 / cm). Ni fydd y ffeiliau hyn bob amser yn gweithio'n berffaith oherwydd eu bod yn anodd eu darllen felly gwiriwch nhw ddwywaith mewn meddalwedd arall.
            Taro'r botwm 'Data Prawf' i lawrlwytho sbectrwm Raman enghreifftiol."
Intensity Adjustment,Addasiad Dwysedd
None,Dim
Transmittance,Trosglwyddiad
Reflectance,Myfyrdod
Intensity Correction Help,Cymorth Cywiriad Dwyster
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Os nad yw'r sbectrwm a uwchlwythwyd mewn unedau amsugno,
           defnyddio'r mewnbwn hwn i nodi'r unedau i drosi oddi wrth.Open Specy can
           addasu sbectra adlewyrchiad neu drosglwyddiad i unedau Amsugno gan ddefnyddio
           y gwymplen hon yn y tab ffeil uwchlwytho. Pob un o'r tabiau blaenorol
           cymryd yn ganiataol bod y data mewn unedau amsugno felly dylech chi wneud y
           cywiriad cyn parhau os oes angen. Yr addasiad trawsyriant
           yn defnyddio'r cyfrifiad log10 (1 / T) nad yw'n cywiro ar gyfer system
           a nodweddion gronynnau. Mae'r addasiad adlewyrchiad yn defnyddio'r
           Hafaliad Kubelka-Munk (1-R) 2 / (2 * R). Rydym yn cymryd yn ganiataol bod y adlewyrchiad
           wedi'i fformatio fel cant o 1-100 ac yn gyntaf cywirwch y dwyster trwy rannu â 100
           fel ei fod yn cyd-fynd â'r ffurf a ddisgwylir gan yr hafaliad.
           Os na ddewisir yr un, mae Open Specy yn tybio bod y data a uwchlwythwyd
           sbectrwm amsugno."
Sample File,Ffeil Sampl
Sample Data Help,Cymorth Data Sampl
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Sbectrwm sampl yw hwn y gellir ei uwchlwytho i'r offeryn i'w brofi a deall sut y dylid fformatio'r ffeiliau csv.
Metadata Input,Mewnbwn metadata
Metadata Help,Help Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Rydyn ni'n rhannu unrhyw sbectra a metadata sydd wedi'u huwchlwytho gyda'r gymuned sbectrosgopeg os ydych chi'n llenwi'r metadata yma ac yn dewis cyfran.
           Bydd sbectra a metadata wedi'u llwytho i fyny yn ymddangos yma: https://osf.io/rjg3c"
Share Metadata,Rhannu Metadata
Upload some data to get started...,Llwythwch i fyny rhywfaint o ddata i ddechrau ...
Preprocess Spectrum,Sbectrwm Preprocess
"Smooth, Baseline Correct, and Download Processed Spectra","Llyfn, Gwaelodlin Cywir, a Lawrlwytho Sbectra wedi'i Brosesu"
Download (recommended),Dadlwythwch (argymhellir)
Download Help,Dadlwythwch Help
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Efallai y bydd rhai defnyddwyr am arbed copi o'u sbectrwm wedi'i brosesu. Mae'r botwm hwn yn lawrlwytho'r sbectrwm wedi'i brosesu fel ffeil csv.
Smoothing,Llyfnu
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Gall y llyfnach hwn wella cymhareb signal i sŵn y data ac mae'n defnyddio hidlydd Savitzky-Golay gyda 12 pwynt data rhedeg a'r polynomial a nodwyd.
Smoothing Polynomial,Llyfnhau Polynomial
Baseline Correction,Cywiriad Gwaelodlin
Baseline Correction Help,Cymorth Cywiriad Gwaelodlin
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Mae gan y drefn gywiro waelodlin hon ddau opsiwn ar gyfer cywiro llinell sylfaen, 1) y weithdrefn imodpolyfit polynomial i ddarganfod llinell sylfaen y sbectrwm yn itteratively gan ddefnyddio ffit polynomial i ranbarth cyfan y sbectra. 2) gellir tynnu llinellau llaw gan ddefnyddio'r offeryn llinell ar y plot a bydd y botwm cywir yn defnyddio'r llinellau i dynnu'r llinell sylfaen."
Baseline Correction Polynomial,Cywiriad Gwaelodlin Polynomial
Technique,Techneg
Polynomial,Polynomial
Manual,Llawlyfr
Correct With Trace,Cywir Gyda Olrhain
Reset,Ail gychwyn
Range Selection,Dewis Ystod
Spectral Range Help,Cymorth Ystod Sbectrol
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Gall cyfyngu'r ystod sbectrol gael gwared ar ranbarthau o sbectrwm lle nad oes copaon yn bodoli a gwella paru
Maximum Spectral Range,Uchafswm Ystod Sbectrol
Minimum Spectral Range,Isafswm Ystod Sbectrol
Identify Spectrum,Nodi Sbectrwm
Identify Spectrum Using the Reference Library,Adnabod Sbectrwm Gan ddefnyddio'r Llyfrgell Gyfeirio
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Math
Spectrum Type Help,Math o Sbectrwm Help
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Bydd y detholiad hwn yn penderfynu a ddefnyddir y llyfrgell paru FTIR neu Raman. Dewiswch y math sbectrwm a gafodd ei uwchlwytho.
Analysis,Dadansoddiad
Processed,Wedi'i brosesu
Uploaded,Llwythwyd i fyny
Spectrum to Analyze Help,Sbectrwm i Ddadansoddi Cymorth
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Bydd y detholiad hwn yn penderfynu a yw'r sbectrwm wedi'i uwchlwytho (heb ei brosesu) neu'r sbectrwm sy'n cael ei brosesu gan ddefnyddio'r tab prosesu yn cael ei ddefnyddio yn y gêm sbectrwm.
Region,Rhanbarth
Full,Llawn
Peaks,Copaon
Region to Match Help,Rhanbarth i Gyfateb Help
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Bydd y detholiad hwn yn penderfynu a yw'r llyfrgell rydych chi'n paru iddi yn cynnwys y sbectrwm llawn neu'r copaon sbectrwm yn unig.
Partner With Us,Partner Gyda Ni
Help us reach our goal of revolutionizing spectroscopy.,Helpwch ni i gyrraedd ein nod o chwyldroi sbectrosgopeg.
Donate Cash,Cyfrannu Arian Parod
Buy From Swag Store,Prynu O Swag Store
Contribute time,Cyfrannu amser
Revolutionizing,Chwyldroadol
Thriving,Ffynnu
Maintaining,Cynnal
Supporting,Cefnogol
Saving,Arbed
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tîm taledig sy'n gwthio Open Specy yn agosach at y nod eithaf o adnabod sbectrol 100% cywir a diagnosteg sbectrol ddwfn gydag un clic
A single paid staff person working to update and build the community and the tool,Un aelod o staff taledig sy'n gweithio i ddiweddaru ac adeiladu'r gymuned a'r offeryn
Maintenance costs and minor ad-hoc updates and bug fixes,Costau cynnal a chadw a mân ddiweddariadau ad-hoc a chyfyngderau nam
Keeping the app online and essential maintenance,Cadw'r ap ar-lein a chynnal a chadw hanfodol
Long term storage only,Storio tymor hir yn unig
Sharing Metadata,Rhannu Metadata
Thank you for sharing your data!,Diolch am rannu eich data!
Your data will soon be available at https://osf.io/stmv4/,Cyn bo hir bydd eich data ar gael yn https://osf.io/stmv4/
Something went wrong :-(,Aeth rhywbeth o'i le :-(
Data type not supported!,Math o ddata heb ei gefnogi!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Nid yw math o ddata wedi'i lwytho i fyny yn cael ei gefnogi ar hyn o bryd; os gwelwch yn dda
                      gwiriwch gynghorion a thab 'About' am fanylion."
Sharing Spectrum to Community Library,Rhannu Sbectrwm i'r Llyfrgell Gymunedol
Reading Spectrum,Sbectrwm Darllen
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Os gwnaethoch uwchlwytho ffeil testun / csv, gwnewch yn siŵr bod y
           mae'r colofnau'n rhifol ac yn cael eu henwi'n 'wavenumber' a
           'dwyster'."
absorbance intensity [-],dwyster amsugno [-]
wavenumber [cm<sup>-1</sup>],tonnau dŵr [cm <sup> -1 </sup>]
Analyzing Spectrum,Dadansoddi Sbectrwm
Finding Match,Dod o Hyd i Gêm
Making Plot,Gwneud Plot
Material,Deunydd
Pearson's r,R Pearson
Organization,Trefniadaeth
Selectable Matches,Matiau Selectable
Donations,Rhoddion
Operation Costs,Costau Gweithredol
Selection Metadata,Metadata Dethol
