SpectrumIdentity,SpectrumID,Organization,SpectrumType,InstrumentUsed,InstrumentAccesories,SpectralResolution,NumberofAccumulations,MaterialForm,Color,InstrumentMode,OtherInformation,MaterialProducer,RID,ContactInfo,CASNumber,MaterialPurity,MaterialQuality,InstrumentAccessories,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,range,timestamp,SampleName,rsq
HDPE,HDPESample 11Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,11,
HDPE,HDPESample 12Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,12,
HDPE,HDPESample 13Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,13,
HDPE,HDPESample 14Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,14,
HDPE,HDPESample 15Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,15,
HDPE,HDPESample 16Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,16,
HDPE,HDPESample 17Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,17,
HDPE,HDPESample 18Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,18,
HDPE,HDPESample 19Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,19,
HDPE,HDPESample 20Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,20,
HDPE,HDPESample 21Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,21,
HDPE,HDPESample 22Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,22,
HDPE,HDPESample 23Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,23,
HDPE,HDPESample 24Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,24,
HDPE,HDPESample 25Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,25,
HDPE,HDPESample 26Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,26,
HDPE,HDPESample 27Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,27,
HDPE,HDPESample 28Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,28,
HDPE,HDPESample 29Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,29,
HDPE,HDPESample 30Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,30,
HDPE,HDPESample 31Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,31,
HDPE,HDPESample 32Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,32,
HDPE,HDPESample 33Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,33,
HDPE,HDPESample 34Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,34,
HDPE,HDPESample 35Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,35,
HDPE,HDPESample 36Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,36,
HDPE,HDPESample 37Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,37,
HDPE,HDPESample 38Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,38,
HDPE,HDPESample 39Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,39,
HDPE,HDPESample 40Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,40,
HDPE,HDPESample 41Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,41,
HDPE,HDPESample 42Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,42,
HDPE,HDPESample 43Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,43,
HDPE,HDPESample 44Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,44,
HDPE,HDPESample 45Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,45,
HDPE,HDPESample 46Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,46,
HDPE,HDPESample 47Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,47,
HDPE,HDPESample 48Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,48,
HDPE,HDPESample 49Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,49,
HDPE,HDPESample 50Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,50,
HDPE,HDPESample 51Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,51,
HDPE,HDPESample 52Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,52,
HDPE,HDPESample 53Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,53,
HDPE,HDPESample 54Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,54,
HDPE,HDPESample 55Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,55,
HDPE,HDPESample 56Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,56,
HDPE,HDPESample 57Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,57,
HDPE,HDPESample 58Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,58,
HDPE,HDPESample 59Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,59,
HDPE,HDPESample 60Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,60,
HDPE,HDPESample 61Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,61,
HDPE,HDPESample 62Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,62,
HDPE,HDPESample 63Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,63,
HDPE,HDPESample 64Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,64,
HDPE,HDPESample 65Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,65,
HDPE,HDPESample 66Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,66,
HDPE,HDPESample 67Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,67,
HDPE,HDPESample 68Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,68,
HDPE,HDPESample 69Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,69,
HDPE,HDPESample 70Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,70,
HDPE,HDPESample 71Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,71,
HDPE,HDPESample 72Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,72,
HDPE,HDPESample 73Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,73,
HDPE,HDPESample 74Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,74,
HDPE,HDPESample 75Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,75,
HDPE,HDPESample 76Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,76,
HDPE,HDPESample 77Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,77,
HDPE,HDPESample 78Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,78,
HDPE,HDPESample 79Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,79,
HDPE,HDPESample 80Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,80,
HDPE,HDPESample 81Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,81,
HDPE,HDPESample 82Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,82,
HDPE,HDPESample 83Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,83,
HDPE,HDPESample 84Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,84,
HDPE,HDPESample 85Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,85,
HDPE,HDPESample 86Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,86,
HDPE,HDPESample 87Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,87,
HDPE,HDPESample 88Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,88,
HDPE,HDPESample 89Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,89,
HDPE,HDPESample 90Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,90,
HDPE,HDPESample 91Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,91,
HDPE,HDPESample 92Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,92,
HDPE,HDPESample 93Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,93,
HDPE,HDPESample 94Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,94,
HDPE,HDPESample 95Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,95,
HDPE,HDPESample 96Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,96,
HDPE,HDPESample 97Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,97,
HDPE,HDPESample 98Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,98,
HDPE,HDPESample 99Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,99,
HDPE,HDPESample 100Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,100,
HDPE,HDPESample 101Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,101,
HDPE,HDPESample 102Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,102,
HDPE,HDPESample 103Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,103,
HDPE,HDPESample 104Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,104,
HDPE,HDPESample 105Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,105,
HDPE,HDPESample 106Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,106,
HDPE,HDPESample 107Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,107,
HDPE,HDPESample 108Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,108,
HDPE,HDPESample 109Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,109,
HDPE,HDPESample 110Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,110,
HDPE,HDPESample 111Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,111,
HDPE,HDPESample 112Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,112,
HDPE,HDPESample 113Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,113,
HDPE,HDPESample 114Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,114,
HDPE,HDPESample 115Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,115,
HDPE,HDPESample 116Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,116,
HDPE,HDPESample 117Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,117,
HDPE,HDPESample 118Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,118,
HDPE,HDPESample 119Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,119,
HDPE,HDPESample 120Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,120,
HDPE,HDPESample 121Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,121,
HDPE,HDPESample 122Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,122,
HDPE,HDPESample 123Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,123,
HDPE,HDPESample 124Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,124,
HDPE,HDPESample 125Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,125,
HDPE,HDPESample 126Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,126,
HDPE,HDPESample 127Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,127,
HDPE,HDPESample 128Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,128,
HDPE,HDPESample 129Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,129,
HDPE,HDPESample 130Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,130,
HDPE,HDPESample 131Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,131,
HDPE,HDPESample 132Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,132,
HDPE,HDPESample 133Beauty C,Chabuka et al. 2020,FTIR,ThermalNicolet Nexus 670 FT-IR,Centaurus microscope with 10X optical objective,4/cm,3,,,,,,,,,,,,,,,,,,,,133,
