SpectrumIdentity,SpectrumID,Organization,SpectrumType,InstrumentUsed,InstrumentAccesories,SpectralResolution,NumberofAccumulations,MaterialForm,Color,InstrumentMode,OtherInformation,MaterialProducer,RID,ContactInfo,CASNumber,MaterialPurity,MaterialQuality,InstrumentAccessories,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,range,timestamp,SampleName,rsq
Al2 Ca0.12 Fe2.58 Mg0.27 O12 Si3,1000022,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000022.rod,,,,,,,,,,,,,,,,654,
As2 O4 Zn,1000023,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000023.rod,,,,,,,,,,,,,,,,655,
Ca Cu0.68 H4 K O9 S2,1000024,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000024.rod,,,,,,,,,,,,,,,,656,
F Fe2 O4 P,1000025,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000025.rod,,,,,,,,,,,,,,,,657,
C2 Cl K Na22 O42 S9,1000026,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000026.rod,,,,,,,,,,,,,,,,658,
Fe H O2,1000027,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000027.rod,,,,,,,,,,,,,,,,659,
C13 Ba6 Ca6 Mg O39,1000028,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000028.rod,,,,,,,,,,,,,,,,660,
Ca2 Fe H8 O12 P2,1000029,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000029.rod,,,,,,,,,,,,,,,,661,
O7 Pb2 Sb2,1000030,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000030.rod,,,,,,,,,,,,,,,,662,
As3 Cd Cu1.5 H0.02 O14 Zn2,1000031,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000031.rod,,,,,,,,,,,,,,,,663,
Fe2 H4 Mn O18 P2,1000032,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000032.rod,,,,,,,,,,,,,,,,664,
Al0.122 Ca1.802 Fe0.575 H1.94 K0.014 Mg4.479 Mn0.016 Na0.124 O24 Si7.94 Ti0.002,1000033,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000033.rod,,,,,,,,,,,,,,,,665,
C2 H2 O12 Pb4 S,1000034,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000034.rod,,,,,,,,,,,,,,,,666,
Ca13 F10 H12 O34 Si10,1000035,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000035.rod,,,,,,,,,,,,,,,,667,
Cu H6 O6 Sn,1000036,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000036.rod,,,,,,,,,,,,,,,,668,
H2 O10 S Sb4,1000037,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000037.rod,,,,,,,,,,,,,,,,669,
Al3 Ba0.882 H7 O14 P2,1000038,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000038.rod,,,,,,,,,,,,,,,,670,
C2 H,1000039,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000039.rod,,,,,,,,,,,,,,,,671,
B2 Ba Na4 O30 Si10 Ti2,1000041,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000041.rod,,,,,,,,,,,,,,,,672,
Na4 O22 Si8 Ti2,1000042,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000042.rod,,,,,,,,,,,,,,,,673,
Ca Fe2 H18 Mg2 Mn O26 P4,1000043,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000043.rod,,,,,,,,,,,,,,,,674,
Al2.66 Be2 F2 K0.46 Na6.2 O39 Si15.34,1000044,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000044.rod,,,,,,,,,,,,,,,,675,
Al2 H8 Mn9 O32 Si8,1000045,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000045.rod,,,,,,,,,,,,,,,,676,
Al2 Fe0.02 H44 Mg0.28 Mn0.64 O38 S4 Zn0.06,1000046,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000046.rod,,,,,,,,,,,,,,,,677,
C Ca2 F2 O3,1000048,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000048.rod,,,,,,,,,,,,,,,,678,
As4 Fe4.8 H10 O26 Pb4 Zn2.2,1000050,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000050.rod,,,,,,,,,,,,,,,,679,
Ca2 O12 Pb Si3 Zn3,1000051,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000051.rod,,,,,,,,,,,,,,,,680,
As0.476 Cu0.356 Fe9 H19 Na O38 P5.524,1000053,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000053.rod,,,,,,,,,,,,,,,,681,
B12 H19 K Mg2 O30,1000054,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000054.rod,,,,,,,,,,,,,,,,682,
Be Ca F0.48 H0.52 O4.52 P,1000055,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000055.rod,,,,,,,,,,,,,,,,683,
As2 Ba Fe2.52 O14 Sb0.48,1000056,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000056.rod,,,,,,,,,,,,,,,,684,
Al3 H6 K0.42 Na0.58 O14 S2,1000057,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000057.rod,,,,,,,,,,,,,,,,685,
Al12 Ca5.515 Cl3 K2.505 Na7.5 O60 S3 Si12,1000058,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000058.rod,,,,,,,,,,,,,,,,686,
Ba H8 O9 Si2,1000059,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000059.rod,,,,,,,,,,,,,,,,687,
Ca H6 O16 S2 Sb4,1000060,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000060.rod,,,,,,,,,,,,,,,,688,
H2 O7 Pb Si U,1000061,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000061.rod,,,,,,,,,,,,,,,,689,
As6 O18 Pb3 Te Zn3,1000062,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000062.rod,,,,,,,,,,,,,,,,690,
Cr Hg3 O4 S2,1000063,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000063.rod,,,,,,,,,,,,,,,,691,
Ba0.16 Ca12.82 F H4.18 K6.94 Mn0.18 Na3.18 O92.59 Si35 Sr0.5,1000064,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000064.rod,,,,,,,,,,,,,,,,692,
Fe0.528 H15 Mg4.472 Na2 O23 P4,1000066,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000066.rod,,,,,,,,,,,,,,,,693,
Na O3 Sb,1000067,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000067.rod,,,,,,,,,,,,,,,,694,
B3 H4 Na O7,1000068,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000068.rod,,,,,,,,,,,,,,,,695,
B5 H5 Na2 O12,1000069,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000069.rod,,,,,,,,,,,,,,,,696,
Al4 Ca0.87 H4 Li3.72 Na0.41 O20 P4,1000071,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000071.rod,,,,,,,,,,,,,,,,697,
Al4 H16 Ni0.72 O20 V1.88 Zn0.28,1000072,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000072.rod,,,,,,,,,,,,,,,,698,
As0.4 Fe4.56 O12 S0.84 Sb3.84 Zn0.2,1000073,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000073.rod,,,,,,,,,,,,,,,,699,
C H5 Cl Mg2 O6,1000074,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000074.rod,,,,,,,,,,,,,,,,700,
Be4 Ca2 Fe0.52 H16 Li0.17 Mg0.05 Mn4.14 O34 P6,1000075,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000075.rod,,,,,,,,,,,,,,,,701,
Mn S,1000077,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000077.rod,,,,,,,,,,,,,,,,702,
Ca Fe O6 Si2,1000078,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000078.rod,,,,,,,,,,,,,,,,703,
K2 Mg2 O12 S3,1000079,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000079.rod,,,,,,,,,,,,,,,,704,
Fe0.8 H Mn0.2 O5 Pb V,1000080,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000080.rod,,,,,,,,,,,,,,,,705,
Bi12 Cr4 H6 O33,1000081,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000081.rod,,,,,,,,,,,,,,,,706,
C0.31 H18 Al12 Ca2.23 Cl0.17 K2.16 Na11.61 O61.79 S2.7 Si12,1000082,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000082.rod,,,,,,,,,,,,,,,,707,
As3 Fe4 O21,1000083,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000083.rod,,,,,,,,,,,,,,,,708,
H10.3 K2.98 Na1.22 Nb2.2 O31.15 Si8 Ti1.8,1000084,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000084.rod,,,,,,,,,,,,,,,,709,
C2 B3.468 F2 Mg9 O58 Pb14.144 Si10.532,1000085,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000085.rod,,,,,,,,,,,,,,,,710,
Al B3 Ca O7,1000086,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000086.rod,,,,,,,,,,,,,,,,711,
Cu Se,1000087,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000087.rod,,,,,,,,,,,,,,,,712,
As3 Ca4 H9 O16,1000090,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000090.rod,,,,,,,,,,,,,,,,713,
Ag I,1000091,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000091.rod,,,,,,,,,,,,,,,,714,
Fe S2,1000092,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000092.rod,,,,,,,,,,,,,,,,715,
Ca0.83 Cu0.01 Fe0.08 H14 K Mg0.04 Na Nb0.08 O32 Si10 Ti0.06 Zn0.02 Zr1.86,1000094,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000094.rod,,,,,,,,,,,,,,,,716,
As22.36 Ca11.84 Fe5.94 Mn3.4 O81.36 Ti6,1000095,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000095.rod,,,,,,,,,,,,,,,,717,
Ca Fe H9 Mg O13 P2,1000096,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000096.rod,,,,,,,,,,,,,,,,718,
Fe K Na O10 Si4,1000097,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000097.rod,,,,,,,,,,,,,,,,719,
As Bi2 H O6,1000098,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000098.rod,,,,,,,,,,,,,,,,720,
C Ca0.997 O3 Sr0.003,1000099,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000099.rod,,,,,,,,,,,,,,,,721,
Ag As Mn S3,1000100,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000100.rod,,,,,,,,,,,,,,,,722,
Ag Fe2 S3,1000102,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000102.rod,,,,,,,,,,,,,,,,723,
Ca2 H11.912 Mn7 O34.956 Si10,1000103,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000103.rod,,,,,,,,,,,,,,,,724,
Al F9 H2 O Pb3,1000104,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000104.rod,,,,,,,,,,,,,,,,725,
Cl4 H22 K4 Mg4 O27 S4,1000105,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000105.rod,,,,,,,,,,,,,,,,726,
Al F3 H2 O2 Pb,1000106,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000106.rod,,,,,,,,,,,,,,,,727,
As6.3 Cu0.843 Fe H6 Mg0.1 Mn12.9 O33 Si1.7,1000107,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000107.rod,,,,,,,,,,,,,,,,728,
Be2 Ca3 H2 O12 Si3,1000108,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000108.rod,,,,,,,,,,,,,,,,729,
Ca0.182 Mn O21 Pb7.818 Si6,1000109,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000109.rod,,,,,,,,,,,,,,,,730,
Al2 Mg3 O12 Si3,1000111,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000111.rod,,,,,,,,,,,,,,,,731,
Li Nb3 O8,1000112,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000112.rod,,,,,,,,,,,,,,,,732,
Fe S2,1000113,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000113.rod,,,,,,,,,,,,,,,,733,
Bi2 Cu H O7 V,1000114,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000114.rod,,,,,,,,,,,,,,,,734,
As3 Ca4 H9 O16,1000115,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000115.rod,,,,,,,,,,,,,,,,735,
As2 Fe0.65 H2.65 O9 Pb2 Zn0.35,1000116,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000116.rod,,,,,,,,,,,,,,,,736,
As2 Ca2 H4 Mg0.14 O10 Zn0.86,1000117,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000117.rod,,,,,,,,,,,,,,,,737,
Al0.04 Ca9 F0.84 H0.16 Mg0.96 O27.16 P6.97,1000119,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000119.rod,,,,,,,,,,,,,,,,738,
As2 S3,1000120,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000120.rod,,,,,,,,,,,,,,,,739,
Be4 H2 O9 Si2,1000121,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000121.rod,,,,,,,,,,,,,,,,740,
As0.404 O14 P1.594 Pb3 Te Zn3,1000122,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000122.rod,,,,,,,,,,,,,,,,741,
Cu3 H2 Mo2 O10,1000123,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000123.rod,,,,,,,,,,,,,,,,742,
Al1.356 Be3 Fe0.384 H10.944 Mg0.258 Na0.425 O18.912 Si6,1000124,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000124.rod,,,,,,,,,,,,,,,,743,
Bi13.604 Cu0.842 Fe0.45 Pb7.25 S28,1000125,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000125.rod,,,,,,,,,,,,,,,,744,
Cu H4 O5 Se,1000126,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000126.rod,,,,,,,,,,,,,,,,745,
Al2.08 Ca2 Fe0.39 H Mn0.53 O13 Si3,1000127,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000127.rod,,,,,,,,,,,,,,,,746,
Al2.09 Ca2 Fe0.91 H O13 Si3,1000128,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000128.rod,,,,,,,,,,,,,,,,747,
Al7.7 Ca2.7 H12.68 O45.862 P4 Si3 Sr0.3,1000129,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000129.rod,,,,,,,,,,,,,,,,748,
As1.8 Cu5 H4 O12 P0.2,1000130,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000130.rod,,,,,,,,,,,,,,,,749,
Al4 Ba0.08 Fe2.26 H4 Mg0.74 O26 P3.92 Sr1.92 V0.08,1000131,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000131.rod,,,,,,,,,,,,,,,,750,
Cl Cr2 F H2 O10 Pb4,1000132,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000132.rod,,,,,,,,,,,,,,,,751,
Fe H3 O7 S,1000133,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000133.rod,,,,,,,,,,,,,,,,752,
H15.68 K3.4 Mn0.2 Na2 Nb0.8 O32.4 Si8 Ti3.2,1000134,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000134.rod,,,,,,,,,,,,,,,,753,
Al Fe4.47 H84 K2 Mg3.53 O66.252 S12,1000135,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000135.rod,,,,,,,,,,,,,,,,754,
Al0.761 Fe3.239 H36 O42 S6,1000136,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000136.rod,,,,,,,,,,,,,,,,755,
Fe H2 K O9 S2,1000137,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000137.rod,,,,,,,,,,,,,,,,756,
C2.64 H40.56 Al0.75 Ca18 Ce0.18 F0.39 Fe3.6 K1.17 Mn5.72 Na47.84 Nb0.87 O254.37 Si75.57 Sr2.43 Ti0.57 Zr9.24,1000138,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000138.rod,,,,,,,,,,,,,,,,757,
C2 Mg Na2 O6,1000139,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000139.rod,,,,,,,,,,,,,,,,758,
Al3 Be2 F2 K0.983 Na6.017 O39 Si15,1000140,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000140.rod,,,,,,,,,,,,,,,,759,
Al0.122 Ca1.802 Fe0.575 H1.94 K0.014 Mg4.479 Mn0.016 Na0.124 O24 Si7.94 Ti0.002,1000141,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000141.rod,,,,,,,,,,,,,,,,760,
As Ca Cu0.96 H Mg0.04 O5,1000142,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000142.rod,,,,,,,,,,,,,,,,761,
Bi H3 Mo2.102 O9,1000143,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000143.rod,,,,,,,,,,,,,,,,762,
Ca0.82 F1.25 Mn0.79 Na1.18 O7.75 Si2 Ti0.477 Zr0.733,1000144,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000144.rod,,,,,,,,,,,,,,,,763,
H0.066 Na1.934 O7 Si2 Zr,1000145,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000145.rod,,,,,,,,,,,,,,,,764,
Al8.435 Fe0.83 H O15 Sn Zn0.36,1000146,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000146.rod,,,,,,,,,,,,,,,,765,
Al0.03 Ba0.88 Ca0.13 Fe0.35 K0.61 Mg0.05 Mn0.28 Na2.09 Nb0.01 O18 Si4 Sr0.33 Ti2.91,1000147,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000147.rod,,,,,,,,,,,,,,,,766,
As0.04 Ca0.88 F0.73 H0.24 Na0.88 Nb0.14 O6 Pb0.02 Si0.12 Ta1.7,1000148,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000148.rod,,,,,,,,,,,,,,,,767,
Cl6 K3 Mn Na,1000149,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000149.rod,,,,,,,,,,,,,,,,768,
H8 Mg O12 P2 Zr,1000150,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000150.rod,,,,,,,,,,,,,,,,769,
Ca Fe O6 Si2,1000151,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000151.rod,,,,,,,,,,,,,,,,770,
Cl2 Cu H6 N2,1000152,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000152.rod,,,,,,,,,,,,,,,,771,
Be1.694 Ca1.9 Fe2.449 H2 K0.072 Mg2.551 Na0.1 O24 Pb0.928 Si6.306,1000153,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000153.rod,,,,,,,,,,,,,,,,772,
Ca Fe O6 Si2,1000154,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000154.rod,,,,,,,,,,,,,,,,773,
Ba2.5 Ca F4 Fe6.1 H8 K1.2 Mn9.4 Na3 Nb0.32 O72 Si16 Ti7.68 Zr0.3,1000155,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000155.rod,,,,,,,,,,,,,,,,774,
Al1.84 Ca0.93 Fe0.16 H18 Mg0.04 Mn2.96 O26 P4 Zn0.07,1000156,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000156.rod,,,,,,,,,,,,,,,,775,
H10 Mn3 O14 P2,1000157,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000157.rod,,,,,,,,,,,,,,,,776,
Bi Fe H O7 P Pb,1000158,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000158.rod,,,,,,,,,,,,,,,,777,
Bi O4 V,1000159,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000159.rod,,,,,,,,,,,,,,,,778,
B2 Ca Mg O5,1000160,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000160.rod,,,,,,,,,,,,,,,,779,
Ag9 Cl62 Cu24 H48 K O48 Pb26,1000161,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000161.rod,,,,,,,,,,,,,,,,780,
O5 Pb2 Te,1000162,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000162.rod,,,,,,,,,,,,,,,,781,
Mg3 O8 P2,1000163,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000163.rod,,,,,,,,,,,,,,,,782,
Be H2 O2,1000164,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000164.rod,,,,,,,,,,,,,,,,783,
Al3 Bi0.49 Ca0.23 H6 O14 P1.8 Si0.2 Sr0.28,1000165,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000165.rod,,,,,,,,,,,,,,,,784,
O4 Pb W,1000166,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000166.rod,,,,,,,,,,,,,,,,785,
Ba9.5 Ca3.5 Cl4 H12 O36 Si8 Ti,1000167,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000167.rod,,,,,,,,,,,,,,,,786,
H4 Mn2 O6 Si,1000168,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000168.rod,,,,,,,,,,,,,,,,787,
As H O5 Pb Zn,1000169,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000169.rod,,,,,,,,,,,,,,,,788,
Al4.251 Ca0.084 Fe0.06 K0.336 Mg1.94 O18 Si4.749,1000170,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000170.rod,,,,,,,,,,,,,,,,789,
Hg O,1000171,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000171.rod,,,,,,,,,,,,,,,,790,
C Si,1000172,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000172.rod,,,,,,,,,,,,,,,,791,
As8 S9,1000173,Raman Open Database,Raman,,,,,,,,http://solsa.crystallography.net/rod/1000173.rod,,,,,,,,,,,,,,,,792,
